text,actual_encoded,predicted_encoded,actual_category,predicted_category
call chase bank phone close account pay balance displayed online told customer service rep close account time told balance xxxx account close later pending charge tell would stay account pending charge told stayed close account rack fee eventually go past due report credit bureau past due never receive statement mail chase past due charge found credit monitoring service alert fact despite call chase get fee reverse balance paid told able reverse ding credit report really feel issue chase website feel probably display pending transaction close account time closing account say website balance xxxx mislead never receive email letter mail matter either thankfully bank reverse fee interest say way reverse hit credit report planning buying house next month might cost money ultimately hinder ability get mortgage,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
resubmit complaint regard chase auto third escalation cfpb regard matter chase auto continue provide response inaccurate untrue additionally respond full concern provide resolution two response provide feedback contradicts one say want break hope get true honest response chase concern response come executive level office many inaccuracy response chase request number response correspond numbered concern order ensure address matter full stop run hamster wheel put letter chase date xxxx state xxxx account neither demand deposit check account unable pull payment account escalation back xxxx xxxx xxxx provide xxxx statement prove chase historically pull payment account xxxx account demand deposit check account payroll direct deposit account additionally bill pull company much small chase directly account issue chase response date xxxx xxxx xxxx state accept direct check payment online bank submit proof reason account bank account account number rout number fail accept direct payment bank account cause financial harm please advise chase pull payment account historically show enclose bank statement claim dont call chase bank conveniently offer sign bank account chasenow isnt coincidence nopei think refuse payment try earn money interest force consumer open bank account dont want please advise response historically pull payment xxxx account proven state dont contradiction additionally please advise chase refuse bill xxxx xxxx xxxx major utility pull bank account issue issue past either seem excuse cover refusal take payment order charge fee chase state letter date xxxx xxxx xxxx xxxx xxxx xxxx affiliate xxxx xxxx xxxx false credit union credit union definition bank affiliate bank use rout number get xxxx xxxx use wrong rout number one provide confirm minimum time phone representative obviously something incorrectly refuse accountable chase state letter date xxxx xxxx xxxx contact make payment make payment refuse draft xxxx xxxx account anymore claim credit union account xxxx xxxx xxxx account last time xxxx xxxx payment wrong shouldnt pay try make payment chase cant seem handle pull even though historically always please advise negative credit reporting otherwise lawsuit try make payment chase make excuse tell lie drag make money madden pay fee xxxx xxxx money order two bank account acceptable historically chase pull chase provide response reimbursement xxxx xxxx payment make want reimburse,7,0,Vehicle loan or lease,Checking or savings account
xxxx xxxx xxxx call home number call list promise sell patent xxxx xxxx promise unrealistic thing first emotional since daughter murder take advantage grief emotional state reallized scammed go line load complaint immediately call back say daughter would turn grave anything scam company cancel everything within hou also call credit card company chase credit card service tell accept anything xxxx xxxx xxxx follow lette chase include dozen scam complaint found line told everything fine soon chase bega come scam work ever preform meeting do movie take nothing ever do chase credit card service want money say ruin credit pay call listen come scam money product deliver work do scam xxxx xxxx xxxx never contact undertsood fire want deal chase oming report scam need help xxxx yea old elder abuse think scare pay retirement get social security still work since need eat please call xxxx xxxx law suit cost money entire ballance claim owe need ponished chase sham abuse old lady like name xxxx xxxx address xxxx xxxx xxxx xxxx xxxx ail xxxx xxxx xxxx thank help cell xxxx xxxx,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
xxxx paid account full good faith use trust account federal reserve bank name social security number payment process post day notification sent problem checked account day later saw payment return immediately make another payment use personal bank account payment actually make earlier due date payment process problem xxxx receive letter chase mail state account close due recently return payment xxxx provide information influence decision letter chase risk department wife phone risk department today work told even though good stand account close irreversible due return payment xxxx middle conversation something happen cell phone agent chase could longer hear speak authorization give chase speak behalf good hour end conversation per board governor federal reserve bank rule regulation regard ach payment ach payment immediate final irrevocable federal reserve bank reverse payment authority use stop payment trust account result chase bank close account consider opening deem risk concern close without check per enact xxxx birth right discharge debt use trust account act upon information give good faith side note chase close account two week return payment xxxx enter purchase interest charge fee close account whole thing suspicious fraud risk evaluation need do bank consumer,1,0,Credit card or prepaid card,Checking or savings account
xxxx issue xxxx chase bank debt cancel contact three credit bureau information update chase update balance,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
hello file price protection claim yet receive attestation form follow time time get response form sent resent claim close day receive form,1,0,Credit card or prepaid card,Checking or savings account
chase yet get back complaint xxxx chg xxxx hello fresh xxxx xxxx nsf fee xxxx result fee hellofresh unatuh purchase time inform deliver xxxx tax act tax return complete process process cr,0,5,Checking or savings account,Mortgage
three charge business debit card call dispute xxxx xxxx xxxx rep time seem unaware procedure couldnt clearly understand however proceed answer question ask concern dispute evidence told would receive letter mail would need sign send back never receive mail told holiday xxxx xxxx xxxx call get status dispute told dispute record perplexed ask told would submit dispute properly proceed answer question provide proof time rep seem knowledgeable clear cosice also told note account previous dispute file properly next morning xxxx xxxx xxxx receive decision letter via email state investigation fund remain account perplexed call day find exactly happen time rep told dispute deny couldnt recover fund merchant due date submit claim essentially late explain yet previously call dispute process properly per rep statement told resubmit rep told nothing could help unable recover fund merchant bank merchant refund bank essentially drop ball decide help submit complaint remedy actually happen,1,0,Credit card or prepaid card,Checking or savings account
bankrupancy back xxxx credit report xxxx apply chase bank respond credit report show bankrupancy look free credit report say judgement xxxx report,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
mother scammed money scam artist convince kidnap transfer money xxxx xxxx xxxx xxxx family worried call police tracked police found talk scammer say mom fine relieve finally hung call xxxx xxxx xxxx incident fraud department chase close call monday report claim chase say call information never call wednesday check status say deny fraud physically sent money could believe go psychological traumatic experience chase even investigate claim wish something could do,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
chase bank xxxx xxxx misreporting write amount credit card actually sell xxxx xxxx dealt xxxx collection longer credit report however chase bank refuse change status sell,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
xxxx chase account hack payment sent thru xxxx someone idea chase initially help deny claim cite reason password change device log multiple time local computer clearly fraud cover state appeal investigation matter flaw may see lot fraud store xxxx would think bank would smart enough prevent fraud like sort safeguard place refund steal,4,0,"Money transfer, virtual currency, or money service",Checking or savings account
morgan chase bank dear sir madam write connection claim xxxx regard xxxx debit card transaction amount usd xxxx xxxx filing claim refund visa chargeback scheme rule xxxx xxxx binary option broker breach contract xxxx xxxx fail deliver service promise per conversation director xxxx xxxx state website husband xxxx xxxx open account xxxx xxxx promise withdrawal deposit three month elevate account diamond status dedicate manager expedite withdrawal able withdrawal fund upon request dedicate manager stop call xxxx xxxx online trading account lock xxxx xxxx breach contract upon failure deliver service xxxx action take lock account balance usd therefore filing refund visa chargeback scheme rule afford day date initially sent money xxxx attach document communication part chargeback process include payment processor platform complicit scam xxxx xxxx xxxx name payment xxxx xxxx handle payment transaction contact person xxxx xxxx please feel free contact xxxx look forward prompt response sincerely xxxx xxxx,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
chase filing complaint dispute three reporting company time fix problem start lawsuit three dispute direct found lot fcra violation account xxxx first violation fcra enter consumer dispute mark none report verify account law state creditor must must enter information report consumer report violation fcra could sue per bureau violation number two state account close still reporting monthly payment also violation fcra another per bureau please delete account asap due violation fcra law clear civil liability remedy available fail comply federal law litigious consumer fully intend pursue litigation matter enforce right fcra chase take threat sick deal credit reporting company take action one two court date come soon,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
payment marked late xxxx xxxx travel thought auto pay monthly lease payment enable via bank website inform early two payment miss resolve issue immediately single representative chase helpful slightest credit significantly affected error explain error website issue sort fair resolution wont even respond request recently receive form letter mail,2,7,"Credit reporting, credit repair services, or other personal consumer reports",Vehicle loan or lease
man name xxxx xxxx open chase credit card xxxx card company reporting open xxxx incorrect man put signer card without knowledge xxxx recieved letter chase tell owe contact chase told identity theft almost year later told account dispute told thing several month later told need file police report able fax email roughly month ago confirm recieved assign investigator callled second time last week get update told investigator information conect take number would email information tell tell need speak receive call account remove credit bureau,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
chase card service fail verify debt substantial evidence account belong upon speak fraud department say social name address appear correct hence account belongs long uphill battle clear name ask provide account setup agreement signature forward unable produce information yet reporting lender owe say debt verify,1,3,Credit card or prepaid card,Debt collection
extremely upset shock way charge account reporting credit report continue report incomplete inconsistent unverifiable info honestly say verify accurate verify request investigation authorization fair credit reporting act section ability consumer dispute information directly furnisher dispute account report three credit bureau basis dispute knowledge account,2,3,"Credit reporting, credit repair services, or other personal consumer reports",Debt collection
call dispute transaction chase try purchase xxxx train ticket machine told transaction fail receive ticket card thus assume pending transaction would drop account call chase dispute transaction representative refuse help investigate transaction unless receipt xxxx train ticket able purchase understand large company would unable contact xxxx dispute transaction would require loyal customer proof insinuate lie charge would understand charge insane amount come chase well,0,1,Checking or savings account,Credit card or prepaid card
receive verbal approval creditworthiness credit limit inform xxxx xxxx xxxx chase credit limit would reduce xxxx receipt care act sba loan extremely likely loan forgiven likelihood interest chase make assumption entire loan need repaid xxxx deduct amount fund available service heloc furthermore chase look potential liability side xxxx seek reason withhold credit want cfpb know chase erect barrier lending mid application impede small business owner access credit time government policy focus avail credit resident,5,1,Mortgage,Credit card or prepaid card
xxxx get xxxx tattoo xxxx xxxx xxxx xxxx also without authorization charge card forge signature documentation prove xxxx ttoo itemization back claim whatever charge dispute charge chase fake signature help try report bbb luck addition tattoo paid get xxxx spent dollar treat xxxx,0,1,Checking or savings account,Credit card or prepaid card
stuff found report attach file xxxx police dept,2,3,"Credit reporting, credit repair services, or other personal consumer reports",Debt collection
xxxx xxxx realize victim identity theft seven fraud account open name happen request three annual free credit report xxxx although one fraud account already charge xxxx jpmcb chase credit card however insist go ahead report jpmcb card three credit bureau also contact fraud department recovery department chase bank xxxx try remove fraud account name last contact around xxxx eventually ask fax mail many document proof identity theft proof address fraud commit accordingly xxxx faxed require document include cover letter personal statement police report ftc theft report different proof address document back date fraud commit proof identity etc xxxx receive letter chase bank state chase provide three credit bureau correct information however call chase xxxx know mean state investigation found account valid fraud want escalate case please remove name willing help authority investigation information seek,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
chase violate fcra access credit report conduct account review inquires account relationship end chase meant chase make inquires three cra credit reporting agency without consent account review credit service effort offer credit service chase notify ask permission review account chase remove inquiry account close take action include lawsuit protect consumer right fcra,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
string phishing email bogus chase account forward xxxx block sender change email address reset password begin forward message abuse xxxx date xxxx xxxx xxxx est xxxx xxxx xxxx subject receive message thank forward suspicious communication receive need assistance reply suspicious message please visit chase comxxxx continue look email call text ask provide credit debit card number personal information social security number taxpayer identification number chase com sign information threaten close account send personal information immediately tell unauthorized charge account ask enter confirm account information communication design look like sent careful report receive chase ask personal information communication information advice visit chase com security account specific question notify complaint please visit secure message center call may address concern automatic mailbox reply email receive response original message follow call confirm social security use start get bogus message xxxx xxxx acct disabled xxxx chase banking suspend xxxx purchase xxxx xxxx begin forward message chase xxxx date xxxx xxxx xxxx est subject notice unusual activity account trouble view message please click mail security information chase notice unusual activity account please review verify transaction please review transaction confirm purchase make authorize user xxxx xxxx xxxx xxxx note transaction description amount displayed may differ post transaction valid please login update account cancel transaction recognize charge yes recognize recognize one security may able use chase online access account confirm activity valid safety proceed chase com verify restore full access chase account thank choose chase sincerely chase fraud prevention department envelope icon keep account information date event fraudulent unusual activity need know best way reach log account click update mail security information concern authenticity message please visit chase com customerservice option contact,1,0,Credit card or prepaid card,Checking or savings account
dear executive office chase bank mail code xxxx xxxx xxxx xxxx xxxx xxxx additional information poof fund deposit chase account reference make letter date request provide information research request additional bank statement national identity card sent include proof fund deposit chase bank stripe deposit account verification urgent action,4,0,"Money transfer, virtual currency, or money service",Checking or savings account
morgan chase threaten cancel credit card year without xxxx late problem unless fill xxxx already current address legal information never ever work individual independent company need info lose company compromise provide anyway like file complaint,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
man kentucky access online bank profile account chase bank remove secondary joint holder put new name account change address account transfer without either original primary secondary account holder convent file chase make police report,4,0,"Money transfer, virtual currency, or money service",Checking or savings account
try refinance house pull credit report notice chase credit card say miss credit card payment xxxx never miss payment since open card told chase receive bill wont listen research xxxx fair credit reporting act say information credit report must accurate cause much stress money please tell chase people show day late payment xxxx show bureau,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
per care act covid hardship call bank request forbearance six month bank chase bank loan xxxx xxxx xxxx deny forbearance six month per care act offer month spoke escalation team department chase bank someone name xxxx insist right month forbearance decline request month forbearance offer day violate care act rule deny forbearance month would like know forbearance right file official complain chase violate federal care act xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx email xxxx xxxx,5,0,Mortgage,Checking or savings account
chase receive payment chase visa xxxx account use make payment year payment return xxxx account block travel xxxx travel complete xxxx unblocked account day chase since process payment account chase visa card deposit without issue however particular chase visa account question cannot paid xxxx check account chase block payment xxxx account visa chase visa card,0,1,Checking or savings account,Credit card or prepaid card
reach company multiple time report accurate remove negative remark,3,2,Debt collection,"Credit reporting, credit repair services, or other personal consumer reports"
order age defy collagen eye cream vendor xxxx call xxxx total order xxxx deliver sunday contact vendor order return product xxxx monday xxxx xxxx respond say would return product back xxxx track number would responsible shipping charge say could get refund return product thursday accepted offer partial refund ask could expect refund wednesday xxxx respond submit ticket xxxx fulfillment team process original payment method would receive email confirm process complete thursday wednesday email time receive email refund contact vendor since email refund,0,1,Checking or savings account,Credit card or prepaid card
company use lease apartment sent security deposit refund check former roommate check write cashed check without endorsement refuse answer call text order give half security deposit refund landlord check cashed around chase bank amount xxxx xxxx week time try get resolve lot time spent communicate xxxx landlord police department try resolve issue resolution yet,4,0,"Money transfer, virtual currency, or money service",Checking or savings account
xxxx file xxxx tax return wrong bank account number include mistakenly tax professional give check get bank account information realize mistake signing refund amount usd xxxx xxxx xxxx xxxx xxxx dollar xxxx irs sent direct deposit name wrong account number chase bank make deposit without consider client name irs sent xxxx notice detail bank account information notice irs ask contact chase bank ach department refer original branch ask manager help contact owner account receive deposit manager xxxx xxxx xxxx accept help start talk irs xxxx chase bank least four time try get help advise manager xxxx never anything xxxx call back chase bank ach department explain whole situation xxxx agent say could help get back money wrong account belong client another bank help account belongs chase bank client xxxx agent ask branch manager ask help contact person receive money go back branch manager get response xxxx sent letter irs tax advocate office ask back tax professional bank solve responsibility xxxx also sent letter xxxx xxxx xxxx xxxxxxxx xxxx xxxx tax professional tax could help neither,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
negligence jpmorgan chase bank mine daughter account charge triple time fake copy check number different amount mean bank security system completely standard outdated unsecured found later immediately go bank branch try stop illegal activity account bank allow somebody continue rob account another couple day instead stop schedule payment problem life insurance company paid automatically last year gas water equity loan schedule payment paperless find company payment schedule let know problem find way restore payment also unpaid payment excellent credit score go amount stress whole situation cause serious health financial problem later prevent able work get late charge loss work bank incompetence,0,7,Checking or savings account,Vehicle loan or lease
husband father attempt track recover fund associate certificate deposit purchase father xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx ohio xxxx amount time interest rate payable annually term five year xxxx maturity date importantly include follow automatically renewable term understand xxxx xxxxxxxx xxxx xxxx xxxx xxxx xxxx ohio become xxxx xxxx xxxx xxxx xxxx xxxx xxxx also understand xxxx xxxx xxxx xxxx merge xxxx xxxx xxxx later acquire merge morgan chase xxxx come across summer safety deposit box telephone morgan chase determine need redeem phone twice xxxx axx xxxx even present morgan chase branch office xxxx xxxx maryland mid xxxx addition father purchase behalf visit branch office morgan chase xxxx ohio xxxx see could help shortly father xxxx visit result resolution file complaint government office comptroller currency occ case number xxxx onxx xxxx addition xxxx also file complaint federal deposit insurance corporation fdic morgan chase maintain unable determine happen money suggest recently xxxx letter reference occ complaint check state do number occasion receive email response xxxx xxxx ohio department commerce office unclaimed fund state also unable locate fund frustrate seek determine next recover fund morgan chase axx xxxx email researcher ohio office unclaimed fund state retention policy span year provide give date record likely purge ohio researcher suggest find contact chase handle cd research back end understand bank use money make money via loan acquisition etc oblige return fund interest least definitively inform fund go particularly give renew automatically redeem would like know compel morgan chase adequately address matter would like know else might recover money interest amount,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
chase card show credit report belongs contact xxxx credit well chase card delete account three occasion xxxx file police report local police department nothing happen affect credit dont one else look credit report chase card xxxx page xxxx page xxxx account charge still reflect balance,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
stimulus check deposit bank number line disconnect promise min hold unprofessional bank answer client fund pending problem ever last year,4,0,"Money transfer, virtual currency, or money service",Checking or savings account
xxxx xxxx receive call xxxx morgan chase bank email service dept indicate pull credit report error chase unlimited freedom account month however request service xxxx share error fix would transparent follow day xxxx xxxx receive alert xxxx xxxx inquiry place credit report credit score decrease xxxx point credit bureau monday xxxx xxxx call chase regard issue transfer supervisor xxxx xxxx xxxx indicate account document error take place assure would take business day inquiry remove receive letter date xxxx xxxx indicate request longer processing application credit card issue chase bank usa truly angered request credit application letter dishonest mislead another letter arrive date xxxx xxxx chase thank contact inquiry show report say instead three day turn around remove credit inquiry could take week call chase get explanation letter date xxxx xxxx request credit xxxx xxxx say think would receive letter chase admit error call executive office spoke xxxx indicate large bank country promise could make inquiry would remove ask speak manager xxxx xxxx left message never receive return call last attempt xxxx xxxx call xxxx xxxx supervisor chase credit card service make clear give size bank promise inquiry would remove xxxx make clear personal attention could give inquiry delete file credit bureau reason call back bank chase year behavior pompous attitude truly rethink banking elsewhere chase create issue refuse see inquiry date xxxx xxxx remain xxxx xxxx report impact score assistance get chase answer action get xxxx inquiry credit file would appreciate,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
see multiple day late mark clear violation right fcra company never respond attempt obtain proof documentation prove account report accurately,1,7,Credit card or prepaid card,Vehicle loan or lease
consumer financial protection bureau consumer financial protection bureau xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx consumer financial protection bureau chase xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx jpmorgan chase bank chase manhattan xxxx xxxx xxxx xxxx xxxx xxxx ein xxxx xxxx xxxx account xxxx xxxx allege balance notice filing behalf xxxx xxxx xxxx xxxx xxxx xxxx wamu jpmc illegally use identity create mortgage say instrument bank hinder rent sell property disrupt quality life past year substantiate evidence fact therein give chase aka allege owner investor say loan multiple occasion chase state year owner loan give none bank involve permission use social security identity obtain loan credit history xxxx xxxx xxxx wamu jpmorgan chase well mention communicate multiple agency investigate allege mortgage find credit agency remove allege loan history full several year ago husband fill complaint cfpb result far husband request place hand attorney general legal due process securitization bloom berg report produce within past two year show multiple issue therein xxxx jpmorgan chase bank employee xxxx xxxx xxxx place corporate mortgage lien property year later allege acquisition bank allege take place xxxx another date give bank xxxx xxxx xxxx husband file lawsuit ceo xxxx xxxx xxxx later dismiss xxxx lack personal jurisdiction therefore without bank provide proof legal connection property husband prepare file within proper jurisdiction say person near future resolve within next day chase late response xxxx jpmorgan chase mail letter request permission release private information privy give permission release information third party agency allow bank jpmorgan chase release personal private information never give xxxx xxxx xxxx husband xxxx xxxx xxxx resulutions release mortgage assignment dealing include title trust forge document thereon property stop harassment private personal identity asap release mortgage lien private personal name property next day lawsuit claim shall file thereafter dispute satisfied eye private citizen xxxx xxxx xxxx husband xxxx xxxx xxxx transfer document claim complaint doj permission file federal law suit request fdic insured banking instrument information concern loan identity theft due fact identity theft tie payoff investment make behalf husband xxxx xxxx xxxx bear stearns complaint shall four part position bank involve full report therein jpmorgan chase bank wamu aka washington mutual bank acquire allegedly jpmorgan chase xxxx xxxx xxxx xxxx xxxx xxxx xxxx acquire allegedly jpmorgan chase bank xxxx xxxx xxxx allegedly acquire jpmorgan chase bank xxxx miss cusip investment say investor xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx history dispute bank xxxx purchase may home locate xxxx xxxx xxxx xxxx xxxx xxxx jam original owner first owner home private property xxxx home paid full letter emc mortgage pay dept loan reassign new servicer banking detail paid full paid come husband secure multimillion dollar investment deal xxxx xxxx xxxx amount owe xxxx usda investment bond clothing company xxxx xxxx xxxx xxxx xxxx xxxx attempt trick refinance good faith estimate do deal begin change basic refinance arm balloon deal offer change xxxx xxxx xxxx thereafter decide refinance keep loan emc mortgage xxxx husband sign right cancel document place copy mail well faxed deliver copy rtc rescission document state hour cancel within hour xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx sent confirmation letter right cancel except xxxx well hard hit credit report time husband concerned rebuild credit score fell xxxx rating receive letter thereafter xxxx date mail usps meter mail track kept letter envelope continued pay emc mortgage xxxx receive payoff notice paid full xxxx xxxx xxxx wamu begin call harass family friend state well neighbor state pay bill list lie embarrass time wamu claimed owner note mortgage rather never place mortgage assignment property write notice acquire service right note also claimed investor wmmco locate north carolina spoke receive letter via email fraud discover ftc xxxx xxxx later change allege investor information wmbas xxxx jpmc jpmorgan chase also begin state own mortgage note state three occasion acquire wamu xxxx first time state claimed acquire xxxx another statement letter claimed jpmc acquire note xxxx another claim acquisition jpmc xxxx sent xxxx three different date false husband notice fraudulent issue report jpmc claimed pay emc mortgage xxxx impossible send payment emc mortgage locate texas relation jpmc emc acquire xxxx jpmc husband receive notice lien place upon name house name name xxxx jpmc credit card jpmc remove lien xxxx strange xxxx xxxx xxxx xxxx former employee xxxx xxxx xxxx wamu currently employ jpmc place mortgage assignment property without notice well xxxx local xxxx county registrar office record document never saw mortgage assignment learn upon securitization analysis xxxx report also bank break chain title please see xxxx report securitization analysis xxxx husband file claim xxxx xxxx xxxx ceo chair jpmc fraud forgery identity theft include miss usda bond xxxx xxxx xxxx xxxx amount xxxx xxxx xxxx xxxx usda case later dismiss lack personal jurisdiction information concern home mortgage assignment false request permission file law suite jpmc wamu bank involve please provide passage claim owe jpmc well extort pain suffer jpmorgan chase bank like mortgage company yet provide proof allege mortgage assignment real living agreement transfer fund say loan invoice bank check proof funding forge note step take multiple attempt proof note mortgage payment information request xxxx xxxx xxxx husband xxxx xxxx xxxx payoff discharge option information sent ceo chairman cfo payoff department well legal representative xxxx xxxx writes blog cfpb rather ignore party bank involve attach document provide xxxx xxxx xxxx xxxx husband xxxx xxxx xxxx discharge charge payoff information deem legal without recourse,2,5,"Credit reporting, credit repair services, or other personal consumer reports",Mortgage
aft filing dispute chase bank cfpb believe chase bank close account without proper authorization legal cause demand clear complaint give authorization account close unless fully clearly met retaliatory make aware reporting new website building money warn others incident believe predatory credit practice people agree proof attach close account direct retaliation prove easily pay amount full time credit history show risk would call,1,0,Credit card or prepaid card,Checking or savings account
xxxx xxxx friend mine xxxx wire usd bank xxxx xxxx post account xxxx xxxx xxxx xxxx xxxx paid wire transfer fee separately xxxx xxxx wire another usd pay wire transfer fee separately post account call xxxx xxxx say get contact xxxx xxxx via email say sent usd federal reserve take fee transmit wire bank contact federal reserve say xxxx xxxx xxxx fee schedule transfer whenever receive wire overseas never fee charge large amount something may go affect somebody take get place determine might would appreciate help matter thank great work every american proud grateful keep,0,4,Checking or savings account,"Money transfer, virtual currency, or money service"
check deposit account atm check worth xxxx xxxx check deposit soon deposit immediately withdrawn account atm check return account overdraft charge return check file claim bank deny claim say file claim soon enough activity start tuesday xxxx xxxx file claim thursday xxxx xxxx account live xxxx xxxx check deposit withdrawn atm xxxx never xxxx provide evidence show time deposit withdraws look banking history since year would realize normal activity account fact let withdraw atm one transaction beyond,1,0,Credit card or prepaid card,Checking or savings account
never recieved anything phone email ssn take control didnt acess,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
inquiry do anywhere debt mine,2,3,"Credit reporting, credit repair services, or other personal consumer reports",Debt collection
summary issue jpmorgan chase bank chase auto report account delinquency close auto lease account without notify amount owe continued refuse provide invoice statement amount supposedly owe credit bureau since downgrade credit rating delinquency publish credit report description dispute enter month vehicle lease xxxx xxxx xxxx jpmorgan chase bank assignee xxxx make monthly payment associate account full return lease vehicle time never receive notice additional amount owe via mail electronic mail otherwise account chase close day return lease car receive statement since return car xxxx dealership xxxx day due leave honeymoon receive notification xxxx credit monitoring service chase report past due balance chase account account least day delinquent knowledge debt consists direct result negative report credit bureau credit score lower point discover negative report immediately submit dispute xxxx chase confirm xxxx existence debt resolve issue review online portal close chase account xxxx reveal current statement notify chase letter xxxx delinquency report credit bureau debt never receive bill request statement amount owe receive letter response chase xxxx wherein state report outstanding debt reply letter xxxx inform misinterpret issue give day resolve issue receive form letter response xxxx receive collection call chase xxxx wherein caller xxxx state sent bill incorrect address term lease move new address notify chase move update contact information chase bank online account two year termination lease also list new address lease termination vehicle turn documentation chase bank online account list current address customer profile despite chase bank apparently sent statement incorrect address chase notify owe amount report amount delinquent credit bureau continued report delinquency chase notify within day make initial report credit bureau chase continued refuse provide write statement amount owe may review,2,7,"Credit reporting, credit repair services, or other personal consumer reports",Vehicle loan or lease
receive xxxx cancellation debt paid income tax owe amount today original owe amount report monthly credit amount owe ruin credit prevent obtain mortgage,1,3,Credit card or prepaid card,Debt collection
morgan chase bank jpmcb card xxxx xxxx xxxx xxxx xxxx xxxx xxxx xxxx tel xxxx company name claim creditor credit report company appear credit report make inaccurate derogatory remark violation fair credit reporting act inaccurately reporting collection fails state amount reason collection company fail show item service owe item service purchase paid purchase item service name address telephone number social security number item service purchase via credit debit card cash money order etc form payment submit derogatory remark must remove credit report base follow company report continued report derogatory remark beyond statue limitation company report continued report derogatory remark without license collect operate current home state current address company report continued report derogatory remark without sign authorize document business hire solicit service purchasing product item company report continued report derogatory remark purchasing allege debt owe another company business provider without consent company report continued report derogatory remark without notify address phone make aware debt thus fail,2,3,"Credit reporting, credit repair services, or other personal consumer reports",Debt collection
set auto pay xxxx credit card website option could find pay full several minute look around site select option available several day later notice entire balance take check account want minimum thought clicked pay full amount xxxx dollar due forth kind enough reverse put money back check account however go back online account pay would due say minimum payment due sign auto pay xxxx xxxx xxxx approximately time select minimum payment option somehow easy find yesterday xxxx xxxx xxxx notice derogatory mark credit report longer payment history notice auto pay set next month paid xxxx dollar card right away xxxx late payment report month xxxx xxxx call xxxx complain hopefully remedy situation say since mistake end nothing,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
home loan jpmorgan chase year never late mortgage payment entire year mortgage outstanding however sell home closing attorney send jpmorgan payoff letter check outstanding balance jpmorgan receive somehow get account date mortgage payment due jpmorgan report late last payment list credit report outrageous give long stand relationship give paid mortgage payment time every month decade extremely difficult reach anyone could help resolve matter aware large bank world yet ability help long stand client issue would like late payment remove credit report never late mortgage responsible issue payoff letter might happen backoffice,2,5,"Credit reporting, credit repair services, or other personal consumer reports",Mortgage
issue chase bank reward amazon visa setup auto pay somehow misteriously get unset meaning account auto debit per last conversation chase rep xxxx xxxx xxxx setup payment would miss deal chase phone painful time consume point force want deal final resolution repayment late fee derogatory remark file credit bureau reset automatic payment xxxx take screen shot prove set happens future payment miss auto pay option function file court law unethical practice please note auto pay never deny bank either,1,7,Credit card or prepaid card,Vehicle loan or lease
inquiry credit report say apply chase bank credit card xxxx try call inform authorize take report refuse say wait xxxx,1,2,Credit card or prepaid card,"Credit reporting, credit repair services, or other personal consumer reports"
hello receive call chase amazon credit card state credit card bill day late prior call call amazon worried receive bill direct call chase spoke someone state would receive bill day receive bill amazon past promotion would alert credit card use get back wise would pay dept card log chase websight first time set acct view next time continued wait bill set direct bill pay bank two week receive call chase bank state bill late state never receive bill employee state set paperless billing state accord dep chase web sight auto checked create chase acct auto enters check mark checked receive bill chase bank caller understand issue make payment phone also told late fee would wave later log back chase websight make sure check mark paperless billing checked later find report xxxx day late never call alert late check mark paperless billing auto fill chase verify call confirm record conversation refuse remove day late bad record credit report ever enter life ruin credit xxxx payment never receive reach hope resolve day late remove credit report thank time,2,1,"Credit reporting, credit repair services, or other personal consumer reports",Credit card or prepaid card
